     tim; pos; vol; res; tur; rat; amp; pow; eAd; eFl; sMs; sKh; 
   31.78; 1; 725; 4.456; 15.804; 0.363; 59.061; 42819.225; 296.987; 884509.254; 7.267; 26.161; 
   31.80; 1; 725; 4.456; 15.806; 0.363; 59.061; 42819.225; 296.987; 884806.241; 7.268; 26.165; 
   31.82; 1; 725; 4.456; 15.809; 0.363; 59.061; 42819.225; 296.987; 885103.228; 7.269; 26.168; 
   31.83; 1; 725; 4.456; 15.811; 0.363; 59.061; 42819.225; 296.987; 885400.215; 7.27; 26.172; 
   31.85; 1; 725; 4.456; 15.814; 0.363; 59.061; 42819.225; 296.987; 885697.202; 7.272; 26.179; 
   31.87; 1; 725; 4.456; 15.817; 0.363; 59.061; 42819.225; 296.987; 885994.189; 7.273; 26.183; 
   31.88; 1; 725; 4.456; 15.819; 0.363; 59.061; 42819.225; 296.987; 886291.176; 7.274; 26.186; 
   31.90; 1; 725; 4.456; 15.822; 0.363; 59.061; 42819.225; 296.987; 886588.163; 7.275; 26.19; 
   31.92; 1; 725; 4.456; 15.825; 0.363; 59.061; 42819.225; 296.987; 886885.15; 7.277; 26.197; 
   31.93; 1; 725; 4.456; 15.827; 0.363; 59.061; 42819.225; 296.987; 887182.137; 7.278; 26.201; 
   31.95; 1; 725; 4.456; 15.83; 0.362; 58.898; 42701.05; 295.018; 887477.155; 7.279; 26.204; 
   31.97; 1; 725; 4.456; 15.833; 0.362; 58.898; 42701.05; 295.018; 887772.173; 7.28; 26.208; 
   31.98; 1; 725; 4.456; 15.835; 0.362; 58.898; 42701.05; 295.018; 888067.191; 7.281; 26.212; 
   32.00; 1; 725; 4.456; 15.838; 0.362; 58.898; 42701.05; 295.018; 888362.209; 7.283; 26.219; 
   32.02; 1; 725; 4.456; 15.841; 0.362; 58.898; 42701.05; 295.018; 888657.227; 7.284; 26.222; 
   32.03; 1; 725; 4.456; 15.843; 0.362; 58.898; 42701.05; 295.018; 888952.245; 7.285; 26.226; 
   32.05; 1; 725; 4.456; 15.846; 0.362; 58.898; 42701.05; 295.018; 889247.263; 7.286; 26.23; 
   32.07; 1; 725; 4.456; 15.848; 0.362; 58.898; 42701.05; 295.018; 889542.281; 7.287; 26.233; 
   32.08; 1; 725; 4.456; 15.851; 0.362; 58.898; 42701.05; 295.018; 889837.299; 7.289; 26.24; 
   32.10; 1; 725; 4.456; 15.854; 0.362; 58.898; 42701.05; 295.018; 890132.317; 7.29; 26.244; 
   32.12; 1; 725; 4.456; 15.856; 0.362; 58.898; 42701.05; 295.018; 890427.335; 7.291; 26.248; 
   32.13; 1; 725; 4.456; 15.859; 0.362; 58.898; 42701.05; 295.018; 890722.353; 7.292; 26.251; 
   32.15; 1; 725; 4.456; 15.862; 0.362; 58.898; 42701.05; 295.018; 891017.371; 7.293; 26.255; 
   32.17; 1; 725; 4.456; 15.864; 0.362; 58.898; 42701.05; 295.018; 891312.389; 7.295; 26.262; 
   32.18; 1; 725; 4.456; 15.867; 0.362; 58.898; 42701.05; 295.018; 891607.407; 7.296; 26.266; 
   32.20; 1; 725; 4.456; 15.869; 0.362; 58.898; 42701.05; 295.018; 891902.425; 7.297; 26.269; 
   32.22; 1; 725; 4.456; 15.872; 0.362; 58.898; 42701.05; 295.018; 892197.443; 7.298; 26.273; 
   32.23; 1; 725; 4.456; 15.875; 0.362; 58.898; 42701.05; 295.018; 892492.461; 7.3; 26.28; 
   32.25; 1; 725; 4.456; 15.877; 0.362; 58.898; 42701.05; 295.018; 892787.479; 7.301; 26.284; 
   32.27; 1; 725; 4.456; 15.88; 0.362; 58.898; 42701.05; 295.018; 893082.497; 7.302; 26.287; 
   32.28; 1; 725; 4.456; 15.883; 0.362; 58.898; 42701.05; 295.018; 893377.515; 7.303; 26.291; 
   32.30; 1; 725; 4.456; 15.885; 0.362; 58.898; 42701.05; 295.018; 893672.533; 7.304; 26.294; 
   32.32; 1; 725; 4.456; 15.888; 0.362; 58.898; 42701.05; 295.018; 893967.551; 7.306; 26.302; 
   32.33; 1; 725; 4.456; 15.89; 0.362; 58.898; 42701.05; 295.018; 894262.569; 7.307; 26.305; 
   32.35; 1; 725; 4.456; 15.893; 0.362; 58.898; 42701.05; 295.018; 894557.587; 7.308; 26.309; 
   32.37; 1; 725; 4.456; 15.896; 0.362; 58.898; 42701.05; 295.018; 894852.605; 7.309; 26.312; 
   32.38; 1; 725; 4.456; 15.898; 0.361; 58.735; 42582.875; 293.048; 895145.653; 7.31; 26.316; 
   32.40; 1; 725; 4.456; 15.901; 0.361; 58.735; 42582.875; 293.048; 895438.701; 7.312; 26.323; 
   32.42; 1; 725; 4.456; 15.904; 0.361; 58.735; 42582.875; 293.048; 895731.749; 7.313; 26.327; 
   32.43; 1; 725; 4.456; 15.906; 0.361; 58.735; 42582.875; 293.048; 896024.797; 7.314; 26.33; 
   32.45; 1; 725; 4.456; 15.909; 0.361; 58.735; 42582.875; 293.048; 896317.845; 7.315; 26.334; 
   32.47; 1; 725; 4.456; 15.911; 0.361; 58.735; 42582.875; 293.048; 896610.893; 7.316; 26.338; 
   32.48; 1; 725; 4.456; 15.914; 0.361; 58.735; 42582.875; 293.048; 896903.941; 7.318; 26.345; 
   32.50; 1; 725; 4.456; 15.917; 0.361; 58.735; 42582.875; 293.048; 897196.989; 7.319; 26.348; 
   32.52; 1; 725; 4.456; 15.919; 0.361; 58.735; 42582.875; 293.048; 897490.037; 7.32; 26.352; 
   32.53; 1; 725; 4.456; 15.922; 0.361; 58.735; 42582.875; 293.048; 897783.085; 7.321; 26.356; 
   32.55; 1; 725; 4.456; 15.924; 0.361; 58.735; 42582.875; 293.048; 898076.133; 7.322; 26.359; 
   32.57; 1; 725; 4.456; 15.927; 0.361; 58.735; 42582.875; 293.048; 898369.181; 7.324; 26.366; 
   32.58; 1; 725; 4.456; 15.93; 0.361; 58.735; 42582.875; 293.048; 898662.229; 7.325; 26.37; 
   32.60; 1; 725; 4.456; 15.932; 0.361; 58.735; 42582.875; 293.048; 898955.277; 7.326; 26.374; 
   32.62; 1; 725; 4.456; 15.935; 0.361; 58.735; 42582.875; 293.048; 899248.325; 7.327; 26.377; 
   32.63; 1; 725; 4.456; 15.937; 0.361; 58.735; 42582.875; 293.048; 899541.373; 7.328; 26.381; 
   32.65; 1; 725; 4.456; 15.94; 0.361; 58.735; 42582.875; 293.048; 899834.421; 7.329; 26.384; 
   32.67; 1; 725; 4.456; 15.943; 0.361; 58.735; 42582.875; 293.048; 900127.469; 7.331; 26.392; 
   32.68; 1; 725; 4.456; 15.945; 0.361; 58.735; 42582.875; 293.048; 900420.517; 7.332; 26.395; 
   32.70; 1; 725; 4.456; 15.948; 0.361; 58.735; 42582.875; 293.048; 900713.565; 7.333; 26.399; 
   32.72; 1; 725; 4.456; 15.95; 0.361; 58.735; 42582.875; 293.048; 901006.613; 7.334; 26.402; 
   32.73; 1; 725; 4.456; 15.953; 0.361; 58.735; 42582.875; 293.048; 901299.661; 7.335; 26.406; 
   32.75; 1; 725; 4.456; 15.955; 0.361; 58.735; 42582.875; 293.048; 901592.709; 7.337; 26.413; 
   32.77; 1; 725; 4.456; 15.958; 0.361; 58.735; 42582.875; 293.048; 901885.757; 7.338; 26.417; 
   32.78; 1; 725; 4.456; 15.961; 0.361; 58.735; 42582.875; 293.048; 902178.805; 7.339; 26.42; 
   32.80; 1; 725; 4.456; 15.963; 0.361; 58.735; 42582.875; 293.048; 902471.853; 7.34; 26.424; 
   32.82; 1; 725; 4.456; 15.966; 0.36; 58.573; 42465.425; 291.09; 902762.943; 7.341; 26.428; 
   32.83; 1; 725; 4.456; 15.968; 0.36; 58.573; 42465.425; 291.09; 903054.033; 7.343; 26.435; 
   32.85; 1; 725; 4.456; 15.971; 0.36; 58.573; 42465.425; 291.09; 903345.123; 7.344; 26.438; 
   32.87; 1; 725; 4.456; 15.974; 0.36; 58.573; 42465.425; 291.09; 903636.213; 7.345; 26.442; 
   32.88; 1; 725; 4.456; 15.976; 0.36; 58.573; 42465.425; 291.09; 903927.303; 7.346; 26.446; 
   32.90; 1; 725; 4.456; 15.979; 0.36; 58.573; 42465.425; 291.09; 904218.393; 7.347; 26.449; 
   32.92; 1; 725; 4.456; 15.981; 0.36; 58.573; 42465.425; 291.09; 904509.483; 7.349; 26.456; 
   32.93; 1; 725; 4.456; 15.984; 0.36; 58.573; 42465.425; 291.09; 904800.573; 7.35; 26.46; 
   32.95; 1; 725; 4.456; 15.986; 0.36; 58.573; 42465.425; 291.09; 905091.663; 7.351; 26.464; 
   32.97; 1; 725; 4.456; 15.989; 0.36; 58.573; 42465.425; 291.09; 905382.753; 7.352; 26.467; 
   32.98; 1; 725; 4.456; 15.992; 0.36; 58.573; 42465.425; 291.09; 905673.843; 7.353; 26.471; 
   33.00; 1; 725; 4.456; 15.994; 0.36; 58.573; 42465.425; 291.09; 905964.933; 7.354; 26.474; 
   33.02; 1; 725; 4.456; 15.997; 0.36; 58.573; 42465.425; 291.09; 906256.023; 7.356; 26.482; 
   33.03; 1; 725; 4.456; 15.999; 0.36; 58.573; 42465.425; 291.09; 906547.113; 7.357; 26.485; 
   33.05; 1; 725; 4.456; 16.002; 0.36; 58.573; 42465.425; 291.09; 906838.203; 7.358; 26.489; 
   33.07; 1; 725; 4.456; 16.004; 0.36; 58.573; 42465.425; 291.09; 907129.293; 7.359; 26.492; 
   33.08; 1; 725; 4.456; 16.007; 0.36; 58.573; 42465.425; 291.09; 907420.383; 7.36; 26.496; 
   33.10; 1; 725; 4.456; 16.01; 0.36; 58.573; 42465.425; 291.09; 907711.473; 7.362; 26.503; 
   33.12; 1; 725; 4.456; 16.012; 0.36; 58.573; 42465.425; 291.09; 908002.563; 7.363; 26.507; 
   33.13; 1; 725; 4.456; 16.015; 0.36; 58.573; 42465.425; 291.09; 908293.653; 7.364; 26.51; 
   33.15; 1; 725; 4.456; 16.017; 0.36; 58.573; 42465.425; 291.09; 908584.743; 7.365; 26.514; 
   33.17; 1; 725; 4.456; 16.02; 0.36; 58.573; 42465.425; 291.09; 908875.833; 7.366; 26.518; 
   33.18; 1; 725; 4.456; 16.022; 0.36; 58.573; 42465.425; 291.09; 909166.923; 7.367; 26.521; 
   33.20; 1; 725; 4.456; 16.025; 0.36; 58.573; 42465.425; 291.09; 909458.013; 7.369; 26.528; 
   33.22; 1; 725; 4.456; 16.028; 0.36; 58.573; 42465.425; 291.09; 909749.103; 7.37; 26.532; 
   33.23; 1; 725; 4.456; 16.03; 0.36; 58.573; 42465.425; 291.09; 910040.193; 7.371; 26.536; 
   33.25; 1; 725; 4.456; 16.033; 0.36; 58.573; 42465.425; 291.09; 910331.283; 7.372; 26.539; 
   33.27; 1; 725; 4.456; 16.035; 0.359; 58.41; 42347.25; 289.121; 910620.404; 7.373; 26.543; 
   33.28; 1; 725; 4.456; 16.038; 0.359; 58.41; 42347.25; 289.121; 910909.525; 7.374; 26.546; 
   33.30; 1; 725; 4.456; 16.04; 0.359; 58.41; 42347.25; 289.121; 911198.646; 7.376; 26.554; 
   33.32; 1; 725; 4.456; 16.043; 0.359; 58.41; 42347.25; 289.121; 911487.767; 7.377; 26.557; 
   33.33; 1; 725; 4.456; 16.045; 0.359; 58.41; 42347.25; 289.121; 911776.888; 7.378; 26.561; 
   33.35; 1; 725; 4.456; 16.048; 0.359; 58.41; 42347.25; 289.121; 912066.009; 7.379; 26.564; 
   33.37; 1; 725; 4.456; 16.05; 0.359; 58.41; 42347.25; 289.121; 912355.13; 7.38; 26.568; 
   33.38; 1; 725; 4.456; 16.053; 0.359; 58.41; 42347.25; 289.121; 912644.251; 7.381; 26.572; 
   33.40; 1; 725; 4.456; 16.056; 0.359; 58.41; 42347.25; 289.121; 912933.372; 7.383; 26.579; 
   33.42; 1; 725; 4.456; 16.058; 0.359; 58.41; 42347.25; 289.121; 913222.493; 7.384; 26.582; 
   33.43; 1; 725; 4.456; 16.061; 0.359; 58.41; 42347.25; 289.121; 913511.614; 7.385; 26.586; 
   33.45; 1; 725; 4.456; 16.063; 0.359; 58.41; 42347.25; 289.121; 913800.735; 7.386; 26.59; 
   33.47; 1; 725; 4.456; 16.066; 0.359; 58.41; 42347.25; 289.121; 914089.856; 7.387; 26.593; 
   33.48; 1; 725; 4.456; 16.068; 0.359; 58.41; 42347.25; 289.121; 914378.977; 7.388; 26.597; 
   33.50; 1; 725; 4.456; 16.071; 0.359; 58.41; 42347.25; 289.121; 914668.098; 7.39; 26.604; 
   33.52; 1; 725; 4.456; 16.073; 0.359; 58.41; 42347.25; 289.121; 914957.219; 7.391; 26.608; 
   33.53; 1; 725; 4.456; 16.076; 0.359; 58.41; 42347.25; 289.121; 915246.34; 7.392; 26.611; 
   33.55; 1; 725; 4.456; 16.078; 0.359; 58.41; 42347.25; 289.121; 915535.461; 7.393; 26.615; 
   33.57; 1; 725; 4.456; 16.081; 0.359; 58.41; 42347.25; 289.121; 915824.582; 7.394; 26.618; 
   33.58; 1; 725; 4.456; 16.084; 0.359; 58.41; 42347.25; 289.121; 916113.703; 7.395; 26.622; 
   33.60; 1; 725; 4.456; 16.086; 0.359; 58.41; 42347.25; 289.121; 916402.824; 7.397; 26.629; 
   33.62; 1; 725; 4.456; 16.089; 0.359; 58.41; 42347.25; 289.121; 916691.945; 7.398; 26.633; 
   33.63; 1; 725; 4.456; 16.091; 0.359; 58.41; 42347.25; 289.121; 916981.066; 7.399; 26.636; 
   33.65; 1; 725; 4.456; 16.094; 0.359; 58.41; 42347.25; 289.121; 917270.187; 7.4; 26.64; 
   33.67; 1; 725; 4.456; 16.096; 0.359; 58.41; 42347.25; 289.121; 917559.308; 7.401; 26.644; 
   33.68; 1; 725; 4.456; 16.099; 0.359; 58.41; 42347.25; 289.121; 917848.429; 7.402; 26.647; 
   33.70; 1; 725; 4.456; 16.101; 0.359; 58.41; 42347.25; 289.121; 918137.55; 7.404; 26.654; 
   33.72; 1; 725; 4.456; 16.104; 0.359; 58.41; 42347.25; 289.121; 918426.671; 7.405; 26.658; 
   33.73; 1; 725; 4.456; 16.106; 0.358; 58.247; 42229.075; 287.151; 918713.822; 7.406; 26.662; 
   33.75; 1; 725; 4.456; 16.109; 0.358; 58.247; 42229.075; 287.151; 919000.973; 7.407; 26.665; 
   33.77; 1; 725; 4.456; 16.111; 0.358; 58.247; 42229.075; 287.151; 919288.124; 7.408; 26.669; 
   33.78; 1; 725; 4.456; 16.114; 0.358; 58.247; 42229.075; 287.151; 919575.275; 7.409; 26.672; 
   33.80; 1; 725; 4.456; 16.116; 0.358; 58.247; 42229.075; 287.151; 919862.426; 7.411; 26.68; 
   33.82; 1; 725; 4.456; 16.119; 0.358; 58.247; 42229.075; 287.151; 920149.577; 7.412; 26.683; 
   33.83; 1; 725; 4.456; 16.121; 0.358; 58.247; 42229.075; 287.151; 920436.728; 7.413; 26.687; 
   33.85; 1; 725; 4.456; 16.124; 0.358; 58.247; 42229.075; 287.151; 920723.879; 7.414; 26.69; 
   33.87; 1; 725; 4.456; 16.126; 0.358; 58.247; 42229.075; 287.151; 921011.03; 7.415; 26.694; 
   33.88; 1; 725; 4.456; 16.129; 0.358; 58.247; 42229.075; 287.151; 921298.181; 7.416; 26.698; 
   33.90; 1; 725; 4.456; 16.132; 0.358; 58.247; 42229.075; 287.151; 921585.332; 7.418; 26.705; 
   33.92; 1; 725; 4.456; 16.134; 0.358; 58.247; 42229.075; 287.151; 921872.483; 7.419; 26.708; 
   33.93; 1; 725; 4.456; 16.137; 0.358; 58.247; 42229.075; 287.151; 922159.634; 7.42; 26.712; 
   33.95; 1; 725; 4.456; 16.139; 0.358; 58.247; 42229.075; 287.151; 922446.785; 7.421; 26.716; 
   33.97; 1; 725; 4.456; 16.142; 0.358; 58.247; 42229.075; 287.151; 922733.936; 7.422; 26.719; 
   33.98; 1; 725; 4.456; 16.144; 0.358; 58.247; 42229.075; 287.151; 923021.087; 7.423; 26.723; 
   34.00; 1; 725; 4.456; 16.147; 0.358; 58.247; 42229.075; 287.151; 923308.238; 7.424; 26.726; 
   34.02; 1; 725; 4.456; 16.149; 0.358; 58.247; 42229.075; 287.151; 923595.389; 7.426; 26.734; 
   34.03; 1; 725; 4.456; 16.152; 0.358; 58.247; 42229.075; 287.151; 923882.54; 7.427; 26.737; 
   34.05; 1; 725; 4.456; 16.154; 0.358; 58.247; 42229.075; 287.151; 924169.691; 7.428; 26.741; 
   34.07; 1; 725; 4.456; 16.157; 0.358; 58.247; 42229.075; 287.151; 924456.842; 7.429; 26.744; 
   34.08; 1; 725; 4.456; 16.159; 0.358; 58.247; 42229.075; 287.151; 924743.993; 7.43; 26.748; 
   34.10; 1; 725; 4.456; 16.162; 0.358; 58.247; 42229.075; 287.151; 925031.144; 7.431; 26.752; 
   34.12; 1; 725; 4.456; 16.164; 0.358; 58.247; 42229.075; 287.151; 925318.295; 7.433; 26.759; 
   34.13; 1; 725; 4.456; 16.167; 0.358; 58.247; 42229.075; 287.151; 925605.446; 7.434; 26.762; 
   34.15; 1; 725; 4.456; 16.169; 0.358; 58.247; 42229.075; 287.151; 925892.597; 7.435; 26.766; 
   34.17; 1; 725; 4.456; 16.172; 0.358; 58.247; 42229.075; 287.151; 926179.748; 7.436; 26.77; 
   34.18; 1; 725; 4.456; 16.174; 0.358; 58.247; 42229.075; 287.151; 926466.899; 7.437; 26.773; 
   34.20; 1; 725; 4.456; 16.177; 0.357; 58.085; 42111.625; 285.194; 926752.093; 7.438; 26.777; 
   34.22; 1; 725; 4.456; 16.179; 0.357; 58.085; 42111.625; 285.194; 927037.287; 7.439; 26.78; 
   34.23; 1; 725; 4.456; 16.182; 0.357; 58.085; 42111.625; 285.194; 927322.481; 7.441; 26.788; 
   34.25; 1; 725; 4.456; 16.184; 0.357; 58.085; 42111.625; 285.194; 927607.675; 7.442; 26.791; 
   34.27; 1; 725; 4.456; 16.187; 0.357; 58.085; 42111.625; 285.194; 927892.869; 7.443; 26.795; 
   34.28; 1; 725; 4.456; 16.189; 0.357; 58.085; 42111.625; 285.194; 928178.063; 7.444; 26.798; 
   34.30; 1; 725; 4.456; 16.192; 0.357; 58.085; 42111.625; 285.194; 928463.257; 7.445; 26.802; 
   34.32; 1; 725; 4.456; 16.194; 0.357; 58.085; 42111.625; 285.194; 928748.451; 7.446; 26.806; 
   34.33; 1; 725; 4.456; 16.197; 0.357; 58.085; 42111.625; 285.194; 929033.645; 7.447; 26.809; 
   34.35; 1; 725; 4.456; 16.199; 0.357; 58.085; 42111.625; 285.194; 929318.839; 7.449; 26.816; 
   34.37; 1; 725; 4.456; 16.202; 0.357; 58.085; 42111.625; 285.194; 929604.033; 7.45; 26.82; 
   34.38; 1; 725; 4.456; 16.204; 0.357; 58.085; 42111.625; 285.194; 929889.227; 7.451; 26.824; 
   34.40; 1; 725; 4.456; 16.207; 0.357; 58.085; 42111.625; 285.194; 930174.421; 7.452; 26.827; 
   34.42; 1; 725; 4.456; 16.209; 0.357; 58.085; 42111.625; 285.194; 930459.615; 7.453; 26.831; 
   34.43; 1; 725; 4.456; 16.212; 0.357; 58.085; 42111.625; 285.194; 930744.809; 7.454; 26.834; 
   34.45; 1; 725; 4.456; 16.214; 0.357; 58.085; 42111.625; 285.194; 931030.003; 7.455; 26.838; 
   34.47; 1; 725; 4.456; 16.217; 0.357; 58.085; 42111.625; 285.194; 931315.197; 7.457; 26.845; 
   34.48; 1; 725; 4.456; 16.219; 0.357; 58.085; 42111.625; 285.194; 931600.391; 7.458; 26.849; 
   34.50; 1; 725; 4.456; 16.221; 0.357; 58.085; 42111.625; 285.194; 931885.585; 7.459; 26.852; 
   34.52; 1; 725; 4.456; 16.224; 0.357; 58.085; 42111.625; 285.194; 932170.779; 7.46; 26.856; 
   34.53; 1; 725; 4.456; 16.226; 0.357; 58.085; 42111.625; 285.194; 932455.973; 7.461; 26.86; 
   34.55; 1; 725; 4.456; 16.229; 0.357; 58.085; 42111.625; 285.194; 932741.167; 7.462; 26.863; 
   34.57; 1; 725; 4.456; 16.231; 0.357; 58.085; 42111.625; 285.194; 933026.361; 7.463; 26.867; 
   34.58; 1; 725; 4.456; 16.234; 0.357; 58.085; 42111.625; 285.194; 933311.555; 7.465; 26.874; 
   34.60; 1; 725; 4.456; 16.236; 0.357; 58.085; 42111.625; 285.194; 933596.749; 7.466; 26.878; 
   34.62; 1; 725; 4.456; 16.239; 0.357; 58.085; 42111.625; 285.194; 933881.943; 7.467; 26.881; 
   34.63; 1; 725; 4.456; 16.241; 0.357; 58.085; 42111.625; 285.194; 934167.137; 7.468; 26.885; 
   34.65; 1; 725; 4.456; 16.244; 0.357; 58.085; 42111.625; 285.194; 934452.331; 7.469; 26.888; 
   34.67; 1; 725; 4.456; 16.246; 0.356; 57.922; 41993.45; 283.224; 934735.555; 7.47; 26.892; 
   34.68; 1; 725; 4.456; 16.249; 0.356; 57.922; 41993.45; 283.224; 935018.779; 7.471; 26.896; 
   34.70; 1; 725; 4.456; 16.251; 0.356; 57.922; 41993.45; 283.224; 935302.003; 7.473; 26.903; 
   34.72; 1; 725; 4.456; 16.254; 0.356; 57.922; 41993.45; 283.224; 935585.227; 7.474; 26.906; 
   34.73; 1; 725; 4.456; 16.256; 0.356; 57.922; 41993.45; 283.224; 935868.451; 7.475; 26.91; 
   34.75; 1; 725; 4.456; 16.259; 0.356; 57.922; 41993.45; 283.224; 936151.675; 7.476; 26.914; 
   34.77; 1; 725; 4.456; 16.261; 0.356; 57.922; 41993.45; 283.224; 936434.899; 7.477; 26.917; 
   34.78; 1; 725; 4.456; 16.264; 0.356; 57.922; 41993.45; 283.224; 936718.123; 7.478; 26.921; 
   34.80; 1; 725; 4.456; 16.266; 0.356; 57.922; 41993.45; 283.224; 937001.347; 7.479; 26.924; 
   34.82; 1; 725; 4.456; 16.268; 0.356; 57.922; 41993.45; 283.224; 937284.571; 7.48; 26.928; 
   34.83; 1; 725; 4.456; 16.271; 0.356; 57.922; 41993.45; 283.224; 937567.795; 7.482; 26.935; 
   34.85; 1; 725; 4.456; 16.273; 0.356; 57.922; 41993.45; 283.224; 937851.019; 7.483; 26.939; 
   34.87; 1; 725; 4.456; 16.276; 0.356; 57.922; 41993.45; 283.224; 938134.243; 7.484; 26.942; 
   34.88; 1; 725; 4.456; 16.278; 0.356; 57.922; 41993.45; 283.224; 938417.467; 7.485; 26.946; 
   34.90; 1; 725; 4.456; 16.281; 0.356; 57.922; 41993.45; 283.224; 938700.691; 7.486; 26.95; 
   34.92; 1; 725; 4.456; 16.283; 0.356; 57.922; 41993.45; 283.224; 938983.915; 7.487; 26.953; 
   34.93; 1; 725; 4.456; 16.286; 0.356; 57.922; 41993.45; 283.224; 939267.139; 7.488; 26.957; 
   34.95; 1; 725; 4.456; 16.288; 0.356; 57.922; 41993.45; 283.224; 939550.363; 7.489; 26.96; 
   34.97; 1; 725; 4.456; 16.291; 0.356; 57.922; 41993.45; 283.224; 939833.587; 7.491; 26.968; 
   34.98; 1; 725; 4.456; 16.293; 0.356; 57.922; 41993.45; 283.224; 940116.811; 7.492; 26.971; 
   35.00; 1; 725; 4.456; 16.295; 0.356; 57.922; 41993.45; 283.224; 940400.035; 7.493; 26.975; 
   35.02; 1; 725; 4.456; 16.298; 0.356; 57.922; 41993.45; 283.224; 940683.259; 7.494; 26.978; 
   35.03; 1; 725; 4.456; 16.3; 0.356; 57.922; 41993.45; 283.224; 940966.483; 7.495; 26.982; 
   35.05; 1; 725; 4.456; 16.303; 0.356; 57.922; 41993.45; 283.224; 941249.707; 7.496; 26.986; 
   35.07; 1; 725; 4.456; 16.305; 0.356; 57.922; 41993.45; 283.224; 941532.931; 7.497; 26.989; 
   35.08; 1; 725; 4.456; 16.308; 0.356; 57.922; 41993.45; 283.224; 941816.155; 7.499; 26.996; 
   35.10; 1; 725; 4.456; 16.31; 0.356; 57.922; 41993.45; 283.224; 942099.379; 7.5; 27.0; 
   35.12; 1; 725; 4.456; 16.313; 0.356; 57.922; 41993.45; 283.224; 942382.603; 7.501; 27.004; 
   35.13; 1; 725; 4.456; 16.315; 0.356; 57.922; 41993.45; 283.224; 942665.827; 7.502; 27.007; 
   35.15; 1; 725; 4.456; 16.318; 0.355; 57.759; 41875.275; 281.255; 942947.082; 7.503; 27.011; 
   35.17; 1; 725; 4.456; 16.32; 0.355; 57.759; 41875.275; 281.255; 943228.337; 7.504; 27.014; 
   35.18; 1; 725; 4.456; 16.322; 0.355; 57.759; 41875.275; 281.255; 943509.592; 7.505; 27.018; 
   35.20; 1; 725; 4.456; 16.325; 0.355; 57.759; 41875.275; 281.255; 943790.847; 7.506; 27.022; 
   35.22; 1; 725; 4.456; 16.327; 0.355; 57.759; 41875.275; 281.255; 944072.102; 7.507; 27.025; 
   35.23; 1; 725; 4.456; 16.33; 0.355; 57.759; 41875.275; 281.255; 944353.357; 7.509; 27.032; 
   35.25; 1; 725; 4.456; 16.332; 0.355; 57.759; 41875.275; 281.255; 944634.612; 7.51; 27.036; 
   35.27; 1; 725; 4.456; 16.335; 0.355; 57.759; 41875.275; 281.255; 944915.867; 7.511; 27.04; 
   35.28; 1; 725; 4.456; 16.337; 0.355; 57.759; 41875.275; 281.255; 945197.122; 7.512; 27.043; 
   35.30; 1; 725; 4.456; 16.339; 0.355; 57.759; 41875.275; 281.255; 945478.377; 7.513; 27.047; 
   35.32; 1; 725; 4.456; 16.342; 0.355; 57.759; 41875.275; 281.255; 945759.632; 7.514; 27.05; 
   35.33; 1; 725; 4.456; 16.344; 0.355; 57.759; 41875.275; 281.255; 946040.887; 7.515; 27.054; 
   35.35; 1; 725; 4.456; 16.347; 0.355; 57.759; 41875.275; 281.255; 946322.142; 7.516; 27.058; 
   35.37; 1; 725; 4.456; 16.349; 0.355; 57.759; 41875.275; 281.255; 946603.397; 7.518; 27.065; 
   35.38; 1; 725; 4.456; 16.352; 0.355; 57.759; 41875.275; 281.255; 946884.652; 7.519; 27.068; 
   35.40; 1; 725; 4.456; 16.354; 0.355; 57.759; 41875.275; 281.255; 947165.907; 7.52; 27.072; 
   35.42; 1; 725; 4.456; 16.356; 0.355; 57.759; 41875.275; 281.255; 947447.162; 7.521; 27.076; 
   35.43; 1; 725; 4.456; 16.359; 0.355; 57.759; 41875.275; 281.255; 947728.417; 7.522; 27.079; 
   35.45; 1; 725; 4.456; 16.361; 0.355; 57.759; 41875.275; 281.255; 948009.672; 7.523; 27.083; 
   35.47; 1; 725; 4.456; 16.364; 0.355; 57.759; 41875.275; 281.255; 948290.927; 7.524; 27.086; 
   35.48; 1; 725; 4.456; 16.366; 0.355; 57.759; 41875.275; 281.255; 948572.182; 7.525; 27.09; 
   35.50; 1; 725; 4.456; 16.369; 0.355; 57.759; 41875.275; 281.255; 948853.437; 7.526; 27.094; 
   35.52; 1; 725; 4.456; 16.371; 0.355; 57.759; 41875.275; 281.255; 949134.692; 7.528; 27.101; 
   35.53; 1; 725; 4.456; 16.373; 0.355; 57.759; 41875.275; 281.255; 949415.947; 7.529; 27.104; 
   35.55; 1; 725; 4.456; 16.376; 0.355; 57.759; 41875.275; 281.255; 949697.202; 7.53; 27.108; 
   35.57; 1; 725; 4.456; 16.378; 0.355; 57.759; 41875.275; 281.255; 949978.457; 7.531; 27.112; 
   35.58; 1; 725; 4.456; 16.381; 0.355; 57.759; 41875.275; 281.255; 950259.712; 7.532; 27.115; 
   35.60; 1; 725; 4.456; 16.383; 0.355; 57.759; 41875.275; 281.255; 950540.967; 7.533; 27.119; 
   35.62; 1; 725; 4.456; 16.386; 0.355; 57.759; 41875.275; 281.255; 950822.222; 7.534; 27.122; 
   35.63; 1; 725; 4.456; 16.388; 0.354; 57.596; 41757.1; 279.285; 951101.507; 7.535; 27.126; 
